"source_1"	"source_2"	"source_3"	"source_4"	"source_5"	"rank_product"	"rank_final"
"263876"	2	1	NA	181	4	1.54216964008667	1
"57319"	NA	NA	11	2	NA	2.34520787991171	2
"76156"	NA	12	NA	NA	2	2.44948974278318	3
"18491"	1	69	NA	NA	NA	4.15331193145904	4
"66979"	108	30	NA	NA	1	4.93242414866094	5
"75526"	NA	NA	110	1	NA	5.24404424085076	6
"83602"	48	17	NA	NA	6	5.66012316585036	7
"53881"	6	NA	21.5	NA	NA	5.67890834580027	8
"15201"	NA	13	NA	10	NA	5.70087712549569	9
"229675"	7	11	NA	NA	71	5.87212245000273	10
"11624"	NA	NA	2	NA	86	6.557438524302	11
"30791"	NA	NA	1	NA	183	6.76387462923434	12
"101994"	62	3	NA	NA	50	7.00981239153807	13
"20683"	12	79.5	164.5	122	3	7.12638150342433	14
"14270"	13	16	NA	NA	NA	7.21110255092798	15.5
"15925"	NA	26	NA	NA	8	7.21110255092798	15.5
"75178"	NA	NA	74	4	NA	8.60232526704263	17
"16600"	88	28	NA	NA	7	8.61241588121917	18
"94186"	268	7	NA	NA	11	9.1429690930957	19
"19692"	NA	NA	9	38.5	NA	9.30725523449314	20
"238247"	107	10	NA	123	15	9.3709807493719	21
"68524"	4	81.5	NA	NA	73	9.58794568986858	22
"103135"	144	5	NA	34	98	9.83896421385784	23
"15931"	NA	2	NA	NA	206	10.1488915650922	24
"66105"	30	14	NA	NA	NA	10.2469507659596	25
"50790"	20	33.5	NA	NA	49	10.673389858709	26
"71888"	NA	NA	54	5	147	11.3703136514059	27
"18795"	9	24	188	NA	NA	11.4573086319649	28
"227743"	161	19	NA	NA	14	11.6622205280247	29
"67956"	37	15	NA	NA	NA	11.7792189893897	30
"12843"	8	71	NA	NA	NA	11.916375287813	31
"319604"	17	46.5	NA	NA	64	12.3283804477507	32
"13038"	NA	NA	26	20	100	12.4417038560575	33
"117197"	NA	40	NA	136	10	12.6302431624788	34
"54637"	NA	248	37	3	246	12.7531494875602	35
"83797"	71	8	NA	NA	101	12.8558850860967	36
"18788"	NA	NA	24	12	208	13.0425953240233	37
"52882"	76	23	NA	NA	37	13.3801134573289	38
"71069"	14	51.5	NA	NA	NA	13.4257215820976	39
"74133"	NA	NA	6	56.5	194	13.4548611805604	40
"68911"	NA	NA	82	NA	9	13.5830777072061	41
"98985"	NA	NA	63	6	180	13.6081842319067	42
"14594"	NA	NA	3	NA	248	13.6381816969859	43
"216197"	67	51.5	NA	NA	20	13.672546878042	44
"73102"	3	129.5	NA	NA	178	13.6819842797515	45
"76167"	NA	NA	88.5	8.5	NA	13.7135881519025	46
"67792"	NA	168	5	NA	NA	14.4913767461894	47
"72972"	24	25	NA	NA	145	14.7701587389788	48
"20617"	202	6	NA	NA	72	14.7850835834274	49
"80517"	199	101	NA	22	29	14.9602479275731	50
"100502936"	NA	NA	15	60	NA	15	51
"64339"	251	9	NA	NA	41	15.0815313483418	52
"18570"	NA	NA	NA	7	133	15.2561463023924	53
"17257"	5	188.5	NA	NA	NA	15.3500814330088	54
"338523"	43	22	NA	NA	NA	15.3785564992297	55
"12007"	NA	NA	32	30	NA	15.4919333848297	56
"17433"	NA	NA	42	NA	23	15.5402702679201	57
"12371"	NA	NA	199	NA	5	15.7718102955875	58
"666468"	NA	NA	8	NA	125	15.8113883008419	59
"18843"	NA	NA	36	31	97	15.8863473819407	60
"26381"	265	4	NA	NA	NA	16.2788205960997	61
"117606"	120	64	76	23	289	16.5496987900393	62
"12919"	NA	NA	39.5	28	NA	16.6282891483159	63.5
"67031"	NA	NA	7	158	NA	16.6282891483159	63.5
"22359"	NA	NA	4	NA	286	16.9115345252878	65
"69216"	NA	NA	48	24	NA	16.9705627484771	66
"210094"	224	31.5	NA	NA	19	17.0601483354008	67
"229780"	166	103	NA	8.5	NA	17.5253550327348	68
"27528"	148	77.5	NA	NA	13	17.6758782703743	69
"26433"	NA	NA	121	11	NA	18.2414363469547	70
"70612"	NA	NA	18	NA	74	18.2482875908947	71
"75580"	26	54	NA	NA	120	18.4103281650318	72
"277250"	177	18	NA	160.5	59	18.5281993016907	73
"18844"	42	33.5	NA	NA	NA	18.7549993335111	74
"213988"	15	95	NA	NA	NA	18.8745860881769	75
"240185"	NA	NA	65	NA	22	18.907670401189	76
"103199"	NA	NA	35	41	NA	18.9406969248758	77
"52614"	NA	NA	51	25	146	19.0326718052614	78
"67388"	99	NA	NA	70	27	19.0653337183036	79
"19221"	69	57.5	NA	NA	48	19.1777713427701	80
"22755"	NA	NA	33.5	NA	46	19.6277864263905	81
"217684"	18	108	NA	NA	106	19.6885071291287	82
"215627"	NA	305	80	58	28	19.8350806872491	83
"78925"	NA	NA	14	NA	115	20.0624026477389	84
"22042"	44	37	NA	NA	NA	20.174241001832	85
"22746"	NA	NA	26	63	NA	20.2361063448481	86
"72434"	NA	282.5	12	67	199	20.4984915395954	87
"18707"	184	59	NA	68	65	20.8071709192683	88
"22333"	208	53	NA	NA	24	21.3991025849478	89
"52838"	NA	NA	123.5	15	NA	21.5203392166573	90
"105148"	NA	NA	13	144	NA	21.6333076527839	91
"233537"	NA	NA	10	NA	188	21.6794833886788	92
"20763"	NA	NA	71.5	26.5	NA	21.7643630736119	93
"20751"	NA	NA	112	17	NA	21.8174242292714	94
"270151"	NA	319.5	NA	29	32	22.2272136935655	95
"99512"	136	56	NA	NA	39	22.240399941434	96
"233789"	139	120	NA	NA	18	22.3203805984183	97
"194237"	28	64	NA	NA	172	22.5165006228468	98
"19192"	34	NA	NA	NA	60	22.5831795812724	99
"18508"	84	114	NA	45	156	22.6370755901294	100
"12464"	NA	126	NA	73	36	23.0609599003868	101
"109331"	60	182.5	NA	175	38	23.0939887433886	102
"76582"	217	74.5	170.5	32	243	23.2942817483038	103
"380912"	81	35	NA	NA	123	23.4619877393826	104
"224805"	NA	NA	45	49	NA	23.4787137637478	105
"19698"	NA	NA	58	33	189	23.7508956264281	106
"17242"	NA	NA	77	21	226	23.8315102305193	107
"66766"	NA	NA	129.5	13	227	24.1893986135349	108
"20238"	39	60.5	NA	NA	NA	24.2873423824016	109
"214469"	92	NA	NA	NA	26	24.454038521275	110
"30930"	77	83.5	NA	177	89	25.0798611103418	111
"214812"	59	67	NA	NA	110	25.2533256096499	112
"192663"	151	46.5	NA	90.5	164	25.2592580979789	113
"67926"	NA	NA	31	73	193	25.2906135975414	114
"20822"	29	90	NA	NA	NA	25.5440795488896	115
