"source_1"	"source_2"	"source_3"	"source_4"	"rank_product"	"rank_final"
"15251"	39	3	NA	2	2.05408004924968	1
"24056"	NA	NA	1	18	2.12132034355964	2
"94246"	8	54	NA	1	2.51984209978975	3
"15374"	20	1	NA	114.5	4.39363430063139	4
"14265"	4	59	NA	12	4.71602930340334	5
"26405"	9	NA	NA	10	4.74341649025257	6
"97761"	35	NA	NA	3	5.1234753829798	7
"21838"	57	2	NA	NA	5.33853912601566	8
"77254"	NA	9	6	83	5.49586466009501	9
"106583"	NA	16	8	NA	5.65685424949238	10
"319817"	6	NA	NA	23	5.87367006223537	11
"18619"	NA	70.5	2	NA	5.93717104351896	12
"104923"	NA	11	13	NA	5.9791303715507	13
"26950"	NA	25	NA	6	6.12372435695795	14
"22779"	1	81.5	NA	81	6.25306516318487	15
"12361"	42	35	NA	5	6.48098761669128	16
"16765"	26	7	NA	41	6.51374111102345	17
"13205"	16	33	NA	15	6.64436995608397	18
"17684"	47	10	NA	17	6.66388773067705	19
"20273"	2	NA	NA	90	6.70820393249937	20
"218613"	36	63	NA	4	6.9520532897729	21
"208634"	NA	22	9	NA	7.03562363973514	22
"77087"	NA	73	3	NA	7.39932429347437	23
"225339"	21	NA	NA	11	7.59934207678533	24
"94223"	NA	4	NA	63	7.93725393319377	25
"268807"	NA	64	4	NA	8	26
"239719"	5	NA	NA	54	8.21583836257749	27
"14263"	NA	40	5	76	8.25708219753447	28
"30928"	3	NA	NA	93	8.35164654424503	29
"319758"	15	NA	NA	19	8.44097150806707	30
"69639"	48	6	NA	NA	8.48528137423857	31
"72434"	NA	28	12	NA	9.16515138991168	32
"229584"	31	NA	11	NA	9.23309265630969	33
"71770"	27	NA	NA	13	9.3674969975976	34
"98417"	NA	13	NA	29	9.7082439194738	35
"70533"	NA	19	NA	20	9.74679434480896	36
"12476"	NA	56	7	NA	9.89949493661167	37
"67753"	NA	5	NA	80	10	38
"105239"	29	66.5	NA	16	10.4550300938615	39
"73046"	51	14	NA	46	10.6749068271573	40
"72948"	7	NA	NA	70	11.0679718105893	41
"58911"	66	NA	NA	8	11.4891252930761	42
"72668"	24	42	NA	44	11.7991253461305	43
"93683"	13	NA	NA	43	11.8215904175369	44
"77097"	11	NA	NA	51	11.842719282327	45
"20742"	59	87	NA	9	11.9605183908221	46
"17121"	NA	8	NA	72	12	47
"70834"	18	NA	NA	33	12.1860576069539	48
"17765"	NA	12	NA	50	12.2474487139159	49.5
"20979"	10	NA	NA	60	12.2474487139159	49.5
"12192"	41	50	NA	26	12.5445325180077	51
"100317"	NA	90	NA	7	12.5499003980111	52
"320460"	23	83	NA	28	12.5564459591936	53
"26403"	40	43	NA	35	13.0640422328801	54
"209387"	NA	72	10	NA	13.4164078649987	55
"26381"	28	NA	NA	27	13.7477270848675	56
"71691"	NA	48.5	16	NA	13.9283882771841	57
"328505"	NA	20	NA	39	13.9642400437689	58
"21676"	14	NA	NA	59	14.3701078631999	59
"140792"	NA	34	NA	25	14.5773797371133	60
"15572"	43	70.5	NA	32	15.3160906784526	61
"30930"	NA	30	NA	36	16.431676725155	62
"78757"	12	NA	NA	91	16.5227116418583	63
"320995"	NA	36.5	NA	30	16.5453921077743	64
"56217"	NA	80	NA	14	16.7332005306815	65
"28084"	67	NA	17	NA	16.8745370306862	66.5
"242700"	NA	17	NA	67	16.8745370306862	66.5
"11643"	62	31.5	NA	69	17.0894934490102	68
"19227"	49	24	NA	NA	17.1464281994822	69
"13797"	NA	21	NA	58	17.4499283666151	70
"80892"	56	NA	NA	22	17.5499287747842	71
"77032"	NA	15	NA	84	17.7482393492988	72
"16518"	52	74	NA	40	17.8639336429949	73
"12905"	NA	NA	15	88	18.1659021245849	74.5
"244871"	55	NA	NA	24	18.1659021245849	74.5
"16392"	60	60.5	NA	45	18.2215419359579	76
"66403"	65	NA	NA	21	18.4729532019112	77
"218989"	19	NA	NA	74	18.7483332592527	78
"67848"	NA	41	NA	38	19.7357543559906	79
"217232"	NA	NA	14	114.5	20.0187412191676	80
"19059"	NA	46	NA	37	20.6276513447363	81
"72065"	17	NA	NA	101	20.7183493551007	82
"170721"	NA	18	NA	99	21.1068709192054	83
"433470"	25	75	NA	NA	21.650635094611	84
"66176"	NA	36.5	NA	53	21.9914756212492	85
"19134"	44	NA	NA	48	22.9782505861521	86
"66860"	37	57.5	NA	NA	23.0624153114976	87
"226016"	53	NA	NA	42	23.5902522241709	88
"27217"	NA	48.5	NA	47	23.8720547921623	89
"20192"	30	NA	NA	77	24.0312296813958	90
"20481"	22	NA	NA	108	24.3721152139079	91
"56284"	NA	31.5	NA	78	24.7840674627875	92
"67059"	NA	27	NA	97	25.588083163848	93
"77432"	NA	23	NA	114.5	25.6588191466404	94
"26404"	NA	79	NA	34	25.9133170396999	95
"67121"	NA	88	NA	31	26.1151297144012	96
"232087"	50	NA	NA	55	26.2202212042538	97
"52036"	NA	44	NA	65	26.7394839142419	98
"13548"	33	NA	NA	89	27.0970478096785	99
"12515"	NA	26	NA	114.5	27.2809457314075	100
"268859"	32	NA	NA	94	27.4226184016042	101
"52040"	NA	29	NA	109	28.1113855937412	102
"30841"	61	NA	NA	52	28.1602556806574	103
"27981"	NA	45	NA	71	28.2621655221252	104
"68404"	69	47	NA	NA	28.4736720498077	105
"227102"	68	90	NA	107	28.9461280218579	106
"77045"	NA	53	NA	64	29.1204395571221	107
"213449"	NA	51	NA	68	29.4448637286709	108
"12389"	46	77	NA	NA	29.757352032733	109
"18166"	NA	65	NA	56	30.1662062579967	110
"436090"	NA	38	NA	96	30.199337741083	111
"215280"	NA	60.5	NA	61	30.374742797265	112
"67588"	34	NA	NA	111	30.7164451068153	113
"15278"	NA	66.5	NA	57	30.7835183174373	114
"81703"	54	NA	NA	73	31.3926743046845	115
"434325"	NA	39	NA	102	31.535694062443	116
"233107"	38	NA	NA	105	31.5832233947075	117
"67554"	NA	85	NA	49	32.2684056005251	118
"208164"	NA	68	NA	62	32.4653661614959	119
"20382"	64	NA	NA	66	32.4961536185438	120
"67016"	NA	55	NA	86	34.3874977280988	121
"16367"	45	NA	NA	110	35.1781181986757	122
"13838"	58	NA	NA	87	35.5176012703561	123
"217365"	NA	52	NA	98	35.6931365951495	124
"75029"	63	NA	NA	85	36.5889327529514	125
"56752"	NA	69	NA	79	36.9154439225644	126
"218454"	NA	76	NA	82	39.4715087119811	127
"243382"	NA	84	NA	75	39.6862696659689	128
"54612"	NA	62	NA	103	39.9562260480141	129
"218335"	NA	57.5	NA	114.5	40.5701552868608	130
"29813"	70	NA	NA	104	42.6614580154031	131
"73300"	NA	78	NA	95	43.0406784333147	132
"67878"	NA	86	NA	92	44.4747119158742	133
"52679"	NA	92	NA	100	47.9583152331272	134
"94221"	NA	81.5	NA	114.5	48.3004917159236	135
"69239"	NA	90	NA	106	48.8364617882991	136
