"source_1"	"source_2"	"rank_product"	"rank_final"
"29811"	24	1	2.44948974278318	1
"13132"	1	62	3.93700393700591	2
"66825"	3	21	3.96862696659689	3
"77883"	9	8	4.24264068711928	4
"13495"	30	3	4.74341649025257	5
"22202"	15	7	5.1234753829798	6
"69296"	7	16	5.29150262212918	7
"50785"	4	29	5.3851648071345	8
"100126768"	2	70	5.91607978309962	9
"69470"	70.5	2	5.93717104351896	10
"234413"	29	5	6.02079728939615	11
"328949"	48.5	4	6.96419413859206	12
"270669"	34	6	7.14142842854285	13
"66617"	5	46	7.58287544405155	14
"101985"	21.5	12	8.03118920210451	15
"67821"	6	44	8.12403840463596	16
"16570"	20	15	8.66025403784439	17
"18759"	10	32	8.94427190999916	18
"101568"	8	42	9.16515138991168	19
"18566"	23	17	9.88685996664259	20
"653016"	12	36	10.3923048454133	21
"74114"	46.5	10	10.7819293264239	22
"12487"	31	18	11.8110118110177	23
"226866"	11	55	12.2983738762488	24
"20391"	19	38	13.4350288425444	25
"68178"	83	9	13.6656503687164	26
"225997"	13	64	14.422205101856	27
"52033"	18	49	14.8492424049175	28
"223453"	14	69	15.5402702679201	29
"105787"	39	26	15.9216833280907	30
"269397"	17	60	15.9687194226713	31
"232333"	93	11	15.9921855917195	32
"236537"	37	30	16.6583312489577	33
"77938"	87.5	13	16.8634219540401	34
"70233"	85.5	14	17.2988438920062	35
"56407"	65.5	19	17.6387357823626	36
"68728"	32	39	17.6635217326557	37
"26757"	40	33	18.1659021245849	38
"15574"	46.5	31	18.9835455065696	39
"13494"	16	95.5	19.5448202856921	40
"13075"	21.5	74	19.9436706751791	41
"18761"	74	22	20.174241001832	42
"70296"	27	61	20.291623887703	43
"171486"	77	23	21.0416254125008	44
"71949"	89	20	21.095023109729	45
"208768"	45	40	21.2132034355964	46
"58520"	35	53	21.534855467358	47
"18196"	81	24	22.0454076850486	48
"12562"	25	88	23.4520787991171	49
"16164"	26	86	23.6431808350738	50
"29807"	33	68	23.685438564654	51
"53972"	53	43	23.86943652456	52
"269639"	82	28	23.9582971014219	53
"78339"	92	25	23.9791576165636	54
"22775"	87.5	27	24.3027776190295	55
"208748"	50.5	47	24.3592898090236	56
"12338"	44	54	24.3721152139079	57
"12499"	28	92	25.377155080899	58
"244144"	78	34	25.7487863791675	59
"17441"	59	48	26.6082693913001	60
"24046"	79	37	27.0323879818265	61
"21683"	57.5	51	27.0762811331246	62
"67815"	85.5	35	27.3518737932157	63
"229541"	43	71	27.6269795670826	64
"66251"	42	76	28.2488937836511	65
"29863"	38	85	28.4165444767656	66
"17388"	80	41	28.6356421265527	67
"277353"	36	93	28.9309522829789	68
"252903"	52	65	29.0688837074973	69
"12227"	75.5	45	29.1440388415882	70
"225791"	61	56	29.2232783924049	71
"109929"	60	57	29.2403830344269	72
"11899"	69	52	29.9499582637439	73
"382030"	48.5	78	30.7530486293636	74
"209773"	41	95.5	31.286978121896	75
"109934"	68	58	31.4006369362152	76
"73130"	50.5	81	31.9785084079918	77
"110417"	57.5	72	32.1714158842908	78
"12733"	55.5	75	32.2587197514098	79
"74763"	55.5	79	33.1077785422097	80
"12833"	54	82	33.2716095192282	81
"327826"	90.5	50	33.6340601176843	82
"27967"	64	77	35.0998575495685	83
"76757"	84	59	35.1994318135961	84
"72750"	65.5	80	36.1939221417077	85
"319293"	62	87	36.7219280539571	86
"67398"	67	84	37.5099986670221	87
"16467"	90.5	63	37.7541388459597	88
"140742"	70.5	83	38.2475489410759	89
"106878"	63	95.5	38.7830504215437	90
"434203"	96	66	39.7994974842648	91
"74096"	72	89	40.024992192379	92
"74200"	97	67	40.3081877538547	93
"20343"	73	91	40.752300548558	94
"13392"	75.5	90	41.2158949921023	95
"237891"	94.5	73	41.5286045997214	96
"15417"	94.5	95.5	47.499342100707	97
