"source_1"	"source_2"	"source_3"	"source_4"	"source_5"	"rank_product"	"rank_final"
"380669"	9	3	NA	NA	3	1.44224957030741	1
"15364"	3	1	NA	NA	76	2.03637158142987	2
"60344"	25	8	NA	NA	2	2.45602099909359	3
"14536"	6	9	185.5	NA	1	2.50106182332717	4
"58180"	1	65	NA	NA	12	3.0683880275053	5
"140486"	5	12	NA	NA	NA	3.87298334620742	6
"114142"	2	7	NA	NA	149	4.25909028711917	7
"668225"	NA	2	NA	NA	37	4.30116263352131	8
"209488"	NA	NA	43.5	2	NA	4.66368952654441	9
"319594"	7	80.5	8	NA	64	5.79403319486427	10
"320299"	NA	NA	1	38.5	280	7.36351199983058	11
"209032"	11	22	NA	NA	NA	7.77817459305202	12
"257632"	NA	NA	7	43	NA	8.67467578644874	13
"225631"	4	82	NA	NA	NA	9.05538513813742	14
"403171"	NA	NA	4	89.5	NA	9.46044396421225	15
"235472"	20	13	NA	NA	90	9.5341950199441	16
"69540"	NA	478.5	30	8	21	9.85185765550407	17
"224912"	NA	NA	106	4	NA	10.295630140987	18
"217356"	NA	NA	39	11.5	NA	10.5889092922737	19
"51875"	NA	NA	10	46	NA	10.7238052947636	20
"224481"	NA	NA	101.5	5	NA	11.2638803260688	21
"54721"	NA	NA	2	147	133	11.3138843669597	22
"69401"	NA	NA	5	121.5	NA	12.3237575438662	23
"235130"	185	27	NA	NA	11	12.6722812905199	24
"58988"	NA	17.5	37.5	NA	NA	12.8086884574495	25
"239647"	NA	NA	57.5	11.5	NA	12.8573908706238	26
"11556"	405	11	NA	115	14	12.9377395701151	27
"226856"	33	21	NA	NA	NA	13.1624465810882	28
"70508"	19	37	NA	NA	NA	13.2570735835629	29
"19116"	24	30	NA	NA	NA	13.4164078649987	30.5
"433022"	36	20	NA	NA	NA	13.4164078649987	30.5
"19289"	272	5	NA	82	75	13.4444646851011	32
"269401"	45	34	NA	NA	43	13.4564976765999	33
"74147"	NA	NA	25	30	NA	13.6930639376292	34
"18516"	164	10	NA	207	29	14.0037083249977	35
"67092"	427	39.5	NA	67	9	14.1180780780156	36
"67534"	258	17.5	NA	11.5	204	14.2621976019511	37
"75811"	NA	NA	6	140	NA	14.4913767461894	38
