"source_1"	"source_2"	"source_3"	"rank_product"	"rank_final"
"67898"	1	NA	2	0.707106781186548	1
"70296"	8	NA	16	5.65685424949238	2
"18693"	29	5	NA	6.02079728939615	3
"240753"	149	NA	1	6.10327780786685	4
"66329"	164.5	1	NA	6.41287766919033	5
"100213"	34	NA	8	8.24621125123532	6
"382045"	6	51	NA	8.74642784226795	7
"73728"	NA	2	164	9.05538513813742	8
"16419"	2	NA	182	9.53939201416946	9
"269061"	74	NA	5	9.61769203083567	10
"13549"	NA	3	139	10.2102889283311	11
"14778"	14	NA	32	10.5830052442584	12.5
"66522"	64	NA	7	10.5830052442584	12.5
"68149"	11	43	NA	10.8742815854658	14
"19045"	25	19	NA	10.8972473588517	15
"19085"	77.5	42	13	11.6156502546784	16
"12049"	16	34	NA	11.6619037896906	17
"11488"	9	NA	64	12	18
"14312"	147	NA	4	12.1243556529821	19
"53420"	20.5	NA	30	12.3995967676372	20
"67510"	3	NA	206	12.4298028946561	21
"69195"	18	NA	36	12.7279220613579	22
"58180"	112	NA	6	12.9614813968157	23
"19060"	60.5	7	140	12.9978811653777	24
"20963"	7	NA	97	13.0288142207954	25
"268721"	22	NA	31	13.0575648572006	26
"230098"	20.5	26	122	13.4042059463106	27
"269037"	243.5	NA	3	13.5138817517396	28
"50917"	74	10	NA	13.6014705087354	29
"107895"	42	18	NA	13.7477270848675	30
"68097"	4	NA	192	13.856406460551	31
"100206"	133	6	NA	14.1244468918255	32
"319352"	34	NA	24	14.2828568570857	33
"224697"	36	NA	23	14.3874945699382	34
"56358"	19	NA	44	14.456832294801	35.5
"101513"	104.5	8	NA	14.456832294801	35.5
"22029"	216.5	4	NA	14.7139389695622	37
"246198"	NA	54	17	15.1492574075431	38
"78783"	87	NA	11	15.467708298258	39
"226757"	96	NA	10	15.4919333848297	40
"20737"	5	NA	196	15.6524758424985	41
"228368"	115	NA	9	16.0857079421454	42
"14766"	30	39	NA	17.1026313764871	43
"18822"	67.5	NA	18	17.4284250579334	44
"230752"	24	52	NA	17.6635217326557	45
"67976"	12	NA	109	18.0831413200251	46
"14688"	31	NA	43	18.2551362635287	47
"14534"	113	12	NA	18.411952639522	48
"328365"	141	38	34	18.8961192363493	49
"30939"	17	NA	92	19.7737199332852	50
"22225"	145	11	NA	19.9687255477159	51
"18607"	118	NA	14	20.3224014329016	52
"207592"	NA	44	38	20.4450483002609	53
"228875"	91	NA	19	20.7906228862918	54
"70357"	34	NA	52	21.0237960416286	55
"17289"	43.5	NA	41	21.1157524137787	56
"22789"	10	NA	181	21.2720473861826	57
"277360"	218	9	NA	22.1472345903501	58
"20181"	NA	24	84	22.4499443206436	59
"14693"	48	45	174	24.0554274485923	60
"20476"	15	NA	157	24.2641711171019	61
"17199"	182.5	13	NA	24.3541577559151	62
"226144"	57	NA	42	24.4642596454501	63
"56457"	231	16	110	24.6937451190089	64
"22340"	164.5	15	NA	24.8369684140396	65
"55963"	126	NA	20	25.0998007960223	66
"69601"	216.5	NA	12	25.4852898747493	67
"225631"	51	NA	51	25.5	68
"13864"	97	27	NA	25.588083163848	69
"12984"	13	NA	205	25.8118189982806	70
"353047"	37	NA	77	26.688012290165	71
"12521"	191	NA	15	26.7628473821453	72
"211949"	222	14	NA	27.8747197295327	73
"17387"	89.5	NA	35	27.9843706379114	74
"85030"	139	23	NA	28.2710098864544	75
"66498"	111	29	NA	28.3681159050086	76
"71805"	26	NA	124	28.3901391331568	77
"18763"	107	32	204	29.5755879125614	78
"56709"	141	25	NA	29.6858552175948	79
"94222"	164.5	22	NA	30.0790624853901	80
"15483"	80	NA	46	30.3315017762062	81
"26569"	56	66	NA	30.3973683071413	82
"333669"	32	NA	116	30.4630924234556	83
"211922"	67.5	NA	57	31.014109692203	84
"71718"	NA	30	132	31.4642654451045	85
"71913"	38	NA	106	31.7332633052449	86
"230082"	248.5	17	NA	32.4980768661778	87
"56632"	149	NA	29	32.8671568590896	88
"12153"	NA	64	68	32.9848450049413	89
"108934"	41	NA	108	33.2716095192282	90
"16181"	23	NA	195	33.4850713005064	91
"66617"	77.5	58	NA	33.5223805837235	92
"233107"	225.5	20	NA	33.5782667807616	93
"65256"	95	48	NA	33.7638860322683	94
"20350"	223	21	NA	34.2162242218512	95
"67139"	46	NA	103	34.416565778706	96
"56460"	170	28	NA	34.4963766213207	97
"71520"	228	NA	21	34.5976877840124	98
"70552"	102	NA	48	34.9857113690718	99
"12740"	158	31	NA	34.9928564138454	100
"72008"	136.5	36	NA	35.0499643366438	101
"70584"	53	NA	93	35.1034186369362	102
"228829"	94	NA	53	35.2916420700426	103
"23959"	86	NA	58	35.3128871660192	104
"225362"	59	NA	85	35.4083323527104	105
"239852"	60.5	NA	83	35.4312714984941	106
"66689"	202	NA	25	35.5316760088797	107
"208748"	181	NA	28	35.5949434611154	108
