"source_1"	"source_2"	"rank_product"	"rank_final"
"13714"	3	1	0.866025403784439	1.5
"15220"	1	3	0.866025403784439	1.5
"77604"	8	8	4	3
"71386"	2	44	4.69041575982343	4
"14784"	49	2	4.94974746830583	5
"230709"	5	21	5.1234753829798	6
"56640"	9	16	6	7
"101613"	4	42	6.48074069840786	8
"14460"	7	26	6.74536878161602	9
"19325"	47	4	6.85565460040104	10
"225872"	32	6	6.92820323027551	11
"330938"	38.5	5	6.9372184627558	12
"14426"	17	13	7.43303437365925	13
"73569"	44	7	8.77496438739212	14
"70059"	6	52	8.83176086632785	15
"18143"	18	18	9	16
"58860"	22	15	9.08295106229247	17
"243510"	12	31	9.64365076099295	18
"235339"	11	36	9.9498743710662	19
"330836"	46	9	10.1734949746879	20
"208213"	13	32	10.1980390271856	21
"668501"	31	14	10.4163333279998	22
"210973"	20	22	10.4880884817015	23
"230971"	41	11	10.6183802907977	24
"74890"	14	33	10.7470926301023	25
"13548"	40	12	10.9544511501033	26.5
"56078"	48	10	10.9544511501033	26.5
"59014"	10	53	11.5108644332213	28
"56193"	15	38	11.9373363863133	29
"215303"	19	34	12.7082650271388	30
"333193"	16	41	12.8062484748657	31
"116847"	29	23	12.913171570145	32
"14619"	26	28	13.490737563232	33
"67525"	37	20	13.6014705087354	34
"14272"	28	27	13.7477270848675	35
"13874"	42	19	14.1244468918255	36
"268417"	23	35	14.1862609591111	37
"231413"	52	17	14.8660687473185	38
"78593"	30	30	15	39
"20933"	45	24	16.431676725155	40.5
"223262"	24	45	16.431676725155	40.5
"23877"	21	54	16.8374582404827	42
"209692"	27	48	18	43
"80985"	35	39	18.4729532019112	44
"16492"	25	56.5	18.7916204729661	45
"11772"	57	25	18.8745860881769	46
"242705"	51	29	19.2288845230294	47
"23994"	38.5	40	19.6214168703486	48
"50527"	36	50	21.2132034355964	49
"105440"	33	56.5	21.5899282073841	50
"15159"	34	56.5	21.9146070008111	51
"381058"	43	46	22.2373559579371	52
"11350"	58	37	23.1624696438009	53
"23956"	55	43	24.3156328315757	54
"84585"	50	49	24.7487373415292	55
"12411"	54	47	25.18928343562	56
"14806"	53	51	25.9951918631119	57
"104156"	56	56.5	28.1247222208505	58
