"source_1"	"source_2"	"source_3"	"source_4"	"source_5"	"rank_product"	"rank_final"
"226548"	NA	2	NA	NA	2	1	1
"56784"	12	5	NA	NA	1	1.30495588038962	2
"20744"	1	7	NA	NA	NA	1.3228756555323	3
"72778"	NA	NA	17.5	2	3	1.57256466010551	4
"217843"	3	NA	NA	6.5	NA	2.20794021658196	5
"22287"	NA	NA	21	1	NA	2.29128784747792	6
"68401"	NA	NA	1	28	NA	2.64575131106459	7.5
"69743"	7	4	NA	NA	NA	2.64575131106459	7.5
"23789"	NA	NA	5	24	5	2.8114422176725	9
"57138"	2	9	98	NA	13	3.07645446871768	10
"59016"	NA	NA	4	NA	10	3.16227766016838	11
"107260"	15	NA	NA	3	NA	3.35410196624968	12
"56462"	NA	NA	2	69	8	3.44509950157575	13
"80750"	NA	3	NA	NA	16	3.46410161513775	14
"76773"	11	NA	NA	5	NA	3.70809924354783	15
"54713"	10	6	NA	NA	NA	3.87298334620742	16
"14802"	8	NA	NA	8	NA	4	17
"67917"	NA	NA	12	NA	6	4.24264068711928	18
"224814"	NA	1	NA	83	NA	4.55521678957215	19
"19042"	NA	NA	7	18	NA	5.61248608016091	20
"226518"	NA	NA	34.5	NA	4	5.87367006223537	21
"22269"	NA	NA	6	28	NA	6.48074069840786	22
"19775"	13	8	78	NA	NA	6.69763371137837	23
"20667"	6	NA	30	NA	NA	6.70820393249937	24
"12041"	NA	NA	48	4	NA	6.92820323027551	25
"18111"	9	NA	NA	23	NA	7.19374728496908	26
"80911"	NA	NA	17.5	NA	12	7.24568837309472	27
"328561"	NA	NA	21	32	18.5	7.72192796199613	28
"11774"	NA	NA	56	33	7	7.82489912589895	29
"386463"	NA	NA	3	82	NA	7.84219357067906	30
"60525"	NA	NA	11	26	NA	8.45576726264388	31
"269639"	4	NA	NA	87	NA	9.32737905308882	32
"214162"	5	NA	73	NA	NA	9.5524865872714	33
"13549"	NA	12	NA	39	NA	10.816653826392	34
"110173"	NA	NA	44	78	11	11.1821522237958	35
"12477"	NA	NA	63	36	17	11.2609769403291	36
"50916"	NA	NA	9	57	NA	11.3247516529061	37
"54698"	NA	NA	47	11	NA	11.3688170009021	38
